id;descripcio;nogis;uso;nivel;N_patente;Nombre_com;Id_persona;Aprobacion;Categoria;Actividad;Permiso_sa;Vigencia_p;Tipo_rotul;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_perso;Distrito;Canton;Este;Norte;Lat;longitud
30411;PREDIO ORDINARIO;108226000;;0;84;INTERQUIN;928;27/5/1997 00:00;COM;BODEGAS;84;;;0;1;1;0;0;108226000;153395;;0;POZOS, DE LA CHISPA 420 ESTE Y 73 SUR.;;1-1968361-2017;F;POZOS;SANTA ANA;480136.609999999000000;1099394.409999990000000;9.942539999999990;-84.181160000000000
24389;PREDIO ORDINARIO;302064000;BODEGA;0;358;BODEGAS;13238;1/1/1900 00:00;COM;BODEGAS;358;;;0;1;1;0;0;302064000;424979;;0;DE EMPAQUES SANTA ANA 200 ESTE Y 850 NOR-ESTE, BODEGAS DE MAS X MENOS;;1-788968-2002;J;POZOS;SANTA ANA;479031.739999999000000;1102164.189999990000000;9.967570000000000;-84.191249999999900
12600;URBANIZACION SANTA ANA;103080000;HABITACIONAL;0;293;PULPERIA ROSA;9796;1/1/1900 00:00;COM;PULPERIA;293;;;0;0;1;0;748;103080000;271778;;2;1ERA ENTRADA AL INVU 100 OESTE Y 85 NORTE.;;1-554110-1984;F;SANTA ANA;SANTA ANA;479617.119999999000000;1099081.060000000000000;9.939700000000000;-84.185890000000000
30528;URBANIZACION PARQUE VALLE DEL SOL;330399000;AREA COMUN;0;413;HABITASUL S. A.;5808;9/8/1994 00:00;COM;VENTA DE TERRENOS Y CAMPO DE GOLF;413;;;0;1;1;51;1244;330399000;544156;;0;POZOS, URBANIZACION PARQUE VALLE DEL SOL, CAMPO DE GOLF.;;1-892362-2003;J;POZOS;SANTA ANA;476668.349999999000000;1100089.550000000000000;9.948800000000000;-84.212789999999900
30708;PREDIO ORDINARIO;170198000;;0;594;ABASTECEDOR LA FUENTE;10545;2/2/2006 00:00;COM;MINISUPER Y VENTA DE LICORES;594;;NL;0;0;1;85;543;170198000;187365;;0;SALITRAL, DE LA GUARDIA RURAL 445 SUR.;;1-31328-1977;F;SALITRAL;SANTA ANA;480979.619999999000000;1095251.250000000000000;9.905080000000000;-84.173450000000000
13028;PREDIO ORDINARIO;315212000;;0;204;BODEGAS AMERICA;8862;25/7/2000 00:00;COM;BODEGAS;204;;;0;1;1;0;0;315212000;313389;;0;DE LA GUARDIA RURAL 255 ESTE.;;1-402014-1980;J;POZOS;SANTA ANA;479674.770000000000000;1099935.949999990000000;9.947430000000000;-84.185370000000000
31947;PREDIO ORDINARIO;314080000;;0;613;CONFORT HOTEL REAL COSTA RICA;12347;26/3/2002 00:00;COM;HOTEL;613;;;0;1;1;103;421;314080000;515451;;0;POZOS, CONTIGUO A PIZZA HUT, HOTEL CONFORT.;;1-682542-2001;J;POZOS;SANTA ANA;479134.530000000000000;1099719.719999990000000;9.945470000000000;-84.190299999999900
28961;PREDIO ORDINARIO;534178000;;0;90;GRANJA ARAMA;3530;4/2/1991 00:00;COM;FABRICA ALIMENTOS AVES Y GRANJA AVICOLA;90;;;0;0;1;0;373;534178000;307834;;0;URUCA, DE LA CRUZ ROJA 166 OESTE.;;1-1554499-2012;F;URUCA;SANTA ANA;479163.700000000000000;1098323.959999990000000;9.932850000000000;-84.190020000000000
3021;PREDIO ORDINARIO;503132000;;0;411;DEPOSITO HERMANOS MORA;100301;24/8/2005 00:00;COM;DEPOSITO DE MATERIALES;411;;;0;1;1;0;277;503132000;507978;;0;PIEDADES, DEL BAR LA PARADA 252 NORTE, DEPOSITO HNOS MORA.;;1-990177-1991;J;PIEDADES;SANTA ANA;475901.979999999000000;1098037.340000000000000;9.930240000000000;-84.219769999999900
32614;PREDIO ORDINARIO;323240000;;0;622;PLASTICO TICO;100853;8/3/1994 00:00;COM;FABRICA BOLSAS PLASTICAS;CS-ARS-SA-527-2014;30/6/2019 00:00;;0;1;1;0;374;323240000;317085;;0;POZOS, DE LA CRUZ ROJA 500 NORTE.;;1-806290-1989;J;POZOS;SANTA ANA;479243.700000000000000;1099347.209999990000000;9.942110000000000;-84.189300000000000
30991;PREDIO ORDINARIO;510040000;;0;326;CLUB HIPICO LA CARANA;5440;14/6/1994 00:00;COM;CLUB PRIVADO LICORES NACIONALES Y EXTRANJEROS;326;;;0;1;1;0;226;510040000;639375;;0;PIEDADES, DE MEGA SUPER 1.753 OESTE.;;1-1664984-2013;J;PIEDADES;SANTA ANA;477203.909999999000000;1098721.850000000000000;9.936439999999990;-84.207899999999900
27912;PREDIO ORDINARIO;168017000;;0;287;4 x 4;205819;22/2/1994 00:00;COM;BAR Y RESTAURANTE;287;11/2/2020 00:00;;0;1;1;446;0;168017000;208544;;0;BAR-RESTAURANTE TARGUA 4 X 4.;;NO SE INDICA;J;SALITRAL;SANTA ANA;479307.190000000000000;1093790.379999990000000;9.891859999999990;-84.188689999999900
35542;PREDIO ORDINARIO;538107000;;0;720;LA CASA DEL AZULEJO;15978;25/7/2000 00:00;COM;VENTA ACABADOS DE CERAMICA;720;;;0;0;1;0;1019;538107000;118815;;14;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 46, 66 MTS. AL OESTE.;;NO SE INDICA;F;SALITRAL;SANTA ANA;480319.729999999000000;1095929.290000000000000;9.911210000000000;-84.179469999999900
8677;PREDIO ORDINARIO;312200000;;0;522;ROLTEC;3609;17/2/2003 00:00;COM;VENTA DE REPUESTOS;522;;;0;0;1;0;1220;312200000;343964;;0;POZOS, DEL HOGAR DE REHABILITACION 87 OESTE.;;1-594448-1985;F;POZOS;SANTA ANA;479012.309999999000000;1100102.020000000000000;9.948930000000000;-84.191410000000000
37930;PREDIO ORDINARIO;322246000;;0;540;SODA EL TUNEL;2500;21/4/2004 00:00;COM;SODA;540;;NL;0;0;1;0;899;322246000;238655;;0;POZOS, DE LA GUARDIA RURAL, 130 SUR.;;1-1324420-2009;F;POZOS;SANTA ANA;479486.030000000000000;1099708.000000000000000;9.945370000000000;-84.187089999999900
30752;PREDIO ORDINARIO;170120000;;0;494;PULPERIA;15884;1/1/1900 00:00;COM;PULPERIA;494;;NL;0;1;1;0;748;170120000;40082;;104;SALITRAL, MATINILLA;;NO SE INDICA;F;SALITRAL;SANTA ANA;481424.890000000000000;1093169.219999990000000;9.886260000000000;-84.169380000000000
38036;PREDIO ORDINARIO;102034000;;0;341;FURATI;109547;1/1/1900 00:00;COM;CANCHAS DE FUTBOLL 5  Y SODA;341;;;0;1;1;0;0;102034000;583785;;0;DE LA INTERSECCION DE RUTA NACIONAL 310 CON AVENIDA 07, 26 MTS. AL NORTE. FURATI.;;1-1146852-2007;J;SANTA ANA;SANTA ANA;479678.309999999000000;1098706.070000000000000;9.936310000000000;-84.185329999999900
11840;PREDIO ORDINARIO;102010000;;0;462;SALON IRIABEL;3867;1/1/1900 00:00;COM;SALON DE BELLEZA;462;;;0;0;1;0;0;102010000;292986;;2;SANTA ANA, DE LA ENTRADA A CALLE PORTACELLI 100 m OESTE.;;1-686966-1987;F;SANTA ANA;SANTA ANA;479675.789999999000000;1098884.040000000000000;9.937920000000000;-84.185360000000000
36244;PREDIO ORDINARIO;501046000;;0;509;SWISS TRAVEL SERVICE;15898;2/7/1996 00:00;COM;OFICINA DE TURISMO;509;;;0;1;1;0;630;501046000;591458;;0;BRASIL, DEL RESTAURANTE LA OVEJA NEGRA 500 OESTE, SWISS TRAVEL.;;1-1305398-2008;F;BRASIL;SANTA ANA;475228.250000000000000;1098293.310000000000000;9.932550000000000;-84.225909999999900
28395;PREDIO ORDINARIO;312094000;;0;122;SALON COMUNAL;15606;23/2/1999 00:00;COM;BAILE;122;;;0;0;1;0;86;312094000;239037;;0;COSTADO NORTE DE LA PLAZA;;1-642475-1986;J;POZOS;SANTA ANA;479118.669999999000000;1100216.239999990000000;9.949960000000000;-84.190439999999900
36229;PREDIO ORDINARIO;538330000;;0;725;CERAMICA KATTIA;15972;3/8/1995 00:00;COM;CERAMICA;725;;NL;0;0;1;0;199;538330000;171511;;10;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 46, 119 MTS. AL OESTE.;;1-1189678-2007;F;SALITRAL;SANTA ANA;480205.169999999000000;1095816.270000000000000;9.910180000000000;-84.180509999999900
