N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad;Permiso_salud;Vigencia_permiso_salud;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_actividad;Nogis;N_finca;F_real;Derecho;Direccion_comercio;Filial;N_plano_catastro;Tipo_persona;Distrito;Canton
90;GRANJA ARAMA;3530;4/2/1991 00:00;COM;FABRICA ALIMENTOS AVES Y GRANJA AVICOLA;90;;;0;0;1;;373;534178000;307834;;0;URUCA, DE LA CRUZ ROJA 166 OESTE. ;;1-1554499-2012;F;URUCA;SANTA ANA
92;ELECTRONICA ROYKA;101774;24/3/2006 00:00;COM;TALLER ELECTRICO;92;;;0;1;1;;938;312176000;293560;;0;POZOS, COSTADO SUR DE LA IGLESIA. ;;1-564808-1984;F;POZOS;SANTA ANA
93;PELUQUERIA CANINA BIANKA ;101775;13/11/2006 00:00;COM;PELUQUERIA CANINA;93;;;0;1;1;;713;537109000;516997;;0;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 24, 150 MTS. AL OESTE.  ;;1-397450-1980;F;SALITRAL;SANTA ANA
98;LA MIA;101777;17/6/2003 00:00;COM;BAZAR;98;;;0;0;1;;;126026000;173983;;3;SANTA ANA, CENTRO, DE LA GUARIA 300 OESTE Y 200 NORTE. ;;1-312035-1978;F;SANTA ANA;SANTA ANA
101;H Y J;101779;6/1/1992 00:00;COM;TALABARTERIA;101;;;0;1;1;;916;314044000;105582;;0;POZOS, DE LA ESCUELA REPUBLICA DE FRANCIA 115 NORTE.  ;;1-53136-1992;F;POZOS;SANTA ANA
106;LA PALMA;16278;1/1/1900 00:00;COM;MINISUPER;106;31/1/2022 00:00;;0;1;1;337;531;537218000;381436;;0;DE LA INTERSECCION DE RUTA NACIONAL 311 CO AVENIDA 24, 165 MTS. AL SUR. MINISUPER LA PALMA.;;1-703923-1987;F;SALITRAL;SANTA ANA
109;ARQUITECTURA DANIEL LACAYO;17606;18/6/2004 00:00;COM;ARQUITECTURA Y VENTA EQUIPO;109;;;0;1;1;;72;344014000;24101;;0;POZOS, PARQUE EMPRESARIAL FORUM # 1, FILIAL # 3-A-1. ;F;1-595378-1999;J;POZOS;SANTA ANA
111;LA MIA;101777;7/1/2003 00:00;COM;PULPERIA;111;;;0;0;1;;748;126026000;173983;;2;SANTA ANA, CENTRO, DE LA GUARIA 300 OESTE Y 200 NORTE. ;;1-312035-1978;F;SANTA ANA;SANTA ANA
117;ARTAVIA ROTULACION;101782;1/1/1900 00:00;COM;ROTULACION;117;;;0;0;1;;801;503265000;489170;;2;PIEDADES, DEL BAR LA PARADA 855 NOR-OESTE. ;;1-681176-1987;F;PIEDADES;SANTA ANA
122;SALON COMUNAL;15606;23/2/1999 00:00;COM;BAILE;122;;;0;0;1;;86;312094000;239037;;0;COSTADO NORTE DE LA PLAZA ;;1-642475-1986;J;POZOS;SANTA ANA
125;CERAMICA PAUL;15586;26/9/2000 00:00;COM;CERAMICA;125;;;0;1;1;;199;115006000;284975;;0;SANTA ANA, ALTO DE LAS PALOMAS, FRENTE AL HOTEL ALTA. ;;1-78302-1992;F;SANTA ANA;SANTA ANA
127;AUTO CENTRO SANTA ANA ;15585;5/6/2002 00:00;COM;LUBRICANTES;127;;;0;1;1;;494;126338000;165302;;3;SANTA ANA, CENTRO, DE LA GUARIA 200 OESTE Y 75 NORTE. ;;1-3531-1976;J;SANTA ANA;SANTA ANA
129;AUTOMERCADO SANTA ANA;110875;26/11/2003 00:00;COM;SUPERMERCADO;CS-ARS-SA-240-2015;18/8/2015 00:00;;0;1;1;123;;311356000;571952;;0;POZOS, DE MATRA 307 NORTE, AUTOMERCADO.  ;;1-1021901-2005;J;POZOS;SANTA ANA
130;MAUCO;8490;1/6/1999 00:00;COM;FABRICACION, VENTA DE BUSES Y SUS REPUESTOS;0422-2018;1/3/2023 00:00;;0;1;1;;380;207012000;614342;;0;PIEDADES, DE LA ENTRADA A BARRIO LOS ANGELES 300 ESTE. ;;1-1428479-2010;J;PIEDADES;SANTA ANA
131;GRUPO MOTORES BRITANICOS ;100661;25/10/2005 00:00;COM;VENTA DE AUTOS;131;;;0;0;1;;1067;319020000;440294;;0;POZOS, DE LA ENTRADA AL CONDOMINIO VILLA REAL 675 ESTE. ;;1-222126-1994;J;POZOS;SANTA ANA
141;LA ALAMEDA ;113918;1/4/1991 00:00;COM;PULPERIA;141;;;0;0;1;;748;522121000;360544;;11;PIEDADES, CIUDADELA EL TRIUNFO, LOTE # 46 ;;1-799761-1989;F;PIEDADES;SANTA ANA
144;PULPERIA LA CRUZADA ;2318;5/5/1992 00:00;COM;PULPERIA;144;;;0;1;1;;748;175030000;56976;;6;ENTRE LA INTERSECCION DE CALLE 05 CON CALLE 07. VER OBSERVACIONES.;;NO SE INDICA;F;SALITRAL;SANTA ANA
170;BAC SAN JOSE;8981;12/1/2005 00:00;COM;SERVICIOS BANCARIOS;170;;;0;1;1;;874;311350001;69880;;0;POZOS, CONDOMINIO VISTANA ESTE, FILIAL # 1-A. ;F;1-1298730-2008;J;POZOS;SANTA ANA
173;BANCO HSBC;13520;10/3/2004 00:00;COM;OFICINA BANCARIA;173;;;0;1;1;;603;328156000;605106;;2;POZOS, DIAGONAL AL DEPOSITO EL LAGAR. ;;1-598412-1999;J;POZOS;SANTA ANA
178;LITOIMPRESO MUNDIAL;1118;2/9/1997 00:00;COM;IMPRENTA;178;;;0;0;1;;439;206028000;232700;;0;BRASIL,  DE LA ENTRADA PRINCIPAL A BARRIO LOS ANGELES, 25 NORTE. ;;NO SE INDICA;F;BRASIL;SANTA ANA
